Selected Features,Variances,Weights
telomere_length,53.51838243845423,-2.3819802936975165e-05
age,353.5390134820334,7.763306104902057e-05
cigarette_smoking,0.38285403527568773,6.354149204756965e-05
alcohol_drinking,0.6066346864067662,-0.00018539550241458702
physical_activity_cohort,1.6052467106598158,-0.00013348481532649004
bmi,532.3352970167078,-9.871517883647263e-06
bp_category,1.3618233618233617,-4.253800896691917e-05
hr,145.93001680181166,1.9353192019178067e-05
rr,4.318568842785367,2.39350876379274e-05
cardiovascular_disease_diagnosis,0.20249835634451016,-0.0001595734212654909
sex_Female,0.24965706447187927,8.982559838621729e-05
sex_Male,0.24965706447187927,-8.982559838632831e-05
rural_or_urban_Rural,0.10749912744214736,-6.375540124115009e-05
rural_or_urban_Urban,0.10749912744214736,6.375540124126111e-05
